Q_6,Q_11,Target
NAIROBI,Urban,105
NYERI,Rural,25
KIRINYAGA,Rural,25
MURANG'A,Urban,25
MURANG'A,Rural,25
KIAMBU,Urban,25
KIAMBU,Rural,25
MOMBASA,Urban,45
KWALE,Rural,25
KILIFI,Rural,25
TANARIVER,Rural,25
MARSABIT,Urban,25
MARSABIT,Rural,25
MERU,Rural,45
EMBU,Rural,25
KITUI,Rural,25
MACHAKOS,Urban,25
MACHAKOS,Rural,25
MAKUENI,Rural,25
GARISSA,Urban,25
GARISSA,Rural,25
WAJIR,Rural,25
MANDERA,Rural,25
SIAYA,Rural,25
KISUMU,Urban,25
KISUMU,Rural,25
MIGORI,Rural,25
HOMABAY,Rural,45
KISII,Rural,45
NYAMIRA,Rural,25
TURKANA,Rural,25
SAMBURU,Rural,25
TRANSNZOIA,Urban,25
TRANSNZOIA,Rural,25
BARINGO,Rural,25
ELGEYO-MARAKWET,Rural,25
NANDI,Rural,25
NAKURU,Urban,45
NAKURU,Rural,45
NAROK,Rural,25
KAJIADO,Rural,25
BOMET,Urban,25
BOMET,Rural,25
KAKAMEGA,Rural,65
BUNGOMA,Urban,25
BUNGOMA,Rural,45
BUSIA,Rural,25
